variable name,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2000sf1,2000sf3
male_aian_somecoll,C15002C_005,C15002C_005,C15002C_005,C15002C_005,C15002C_005,C15002C_005,C15002C_005,C15002C_005,C15002C_005,C15002C_005,C15002C_005,,
male_aian_somecoll_a,,,,,,,,,,,,,P148C006
male_aian_somecoll_b,,,,,,,,,,,,,P148C007
male_aian_collplus,C15002C_006,C15002C_006,C15002C_006,C15002C_006,C15002C_006,C15002C_006,C15002C_006,C15002C_006,C15002C_006,C15002C_006,C15002C_006,,
male_aian_collplus_a,,,,,,,,,,,,,P148C008
male_aian_collplus_b,,,,,,,,,,,,,P148C009
female_aian_lths,C15002C_008,C15002C_008,C15002C_008,C15002C_008,C15002C_008,C15002C_008,C15002C_008,C15002C_008,C15002C_008,C15002C_008,C15002C_008,,
female_aian_lths_a,,,,,,,,,,,,,P148C011
female_aian_lths_b,,,,,,,,,,,,,P148C012
female_aian_hs,C15002C_009,C15002C_009,C15002C_009,C15002C_009,C15002C_009,C15002C_009,C15002C_009,C15002C_009,C15002C_009,C15002C_009,C15002C_009,,P148C013
female_aian_somecoll,C15002C_010,C15002C_010,C15002C_010,C15002C_010,C15002C_010,C15002C_010,C15002C_010,C15002C_010,C15002C_010,C15002C_010,C15002C_010,,
female_aian_somecoll_a,,,,,,,,,,,,,P148C014
female_aian_somecoll_b,,,,,,,,,,,,,P148C015
female_aian_collplus,C15002C_011,C15002C_011,C15002C_011,C15002C_011,C15002C_011,C15002C_011,C15002C_011,C15002C_011,C15002C_011,C15002C_011,C15002C_011,,
female_aian_collplus_a,,,,,,,,,,,,,P148C016
female_aian_collplus_b,,,,,,,,,,,,,P148C017
male_asian_lths,C15002D_003,C15002D_003,C15002D_003,C15002D_003,C15002D_003,C15002D_003,C15002D_003,C15002D_003,C15002D_003,C15002D_003,C15002D_003,,
male_asian_lths_a,,,,,,,,,,,,,P148D003
male_asian_lths_b,,,,,,,,,,,,,P148D004
male_asian_hs,C15002D_004,C15002D_004,C15002D_004,C15002D_004,C15002D_004,C15002D_004,C15002D_004,C15002D_004,C15002D_004,C15002D_004,C15002D_004,,P148D005
male_asian_somecoll,C15002D_005,C15002D_005,C15002D_005,C15002D_005,C15002D_005,C15002D_005,C15002D_005,C15002D_005,C15002D_005,C15002D_005,C15002D_005,,
male_asian_somecoll_a,,,,,,,,,,,,,P148D006
male_asian_somecoll_b,,,,,,,,,,,,,P148D007
male_asian_collplus,C15002D_006,C15002D_006,C15002D_006,C15002D_006,C15002D_006,C15002D_006,C15002D_006,C15002D_006,C15002D_006,C15002D_006,C15002D_006,,
male_asian_collplus_a,,,,,,,,,,,,,P148D008
male_asian_collplus_b,,,,,,,,,,,,,P148D009
female_asian_lths,C15002D_008,C15002D_008,C15002D_008,C15002D_008,C15002D_008,C15002D_008,C15002D_008,C15002D_008,C15002D_008,C15002D_008,C15002D_008,,
female_asian_lths_a,,,,,,,,,,,,,P148D011
female_asian_lths_b,,,,,,,,,,,,,P148D012
female_asian_hs,C15002D_009,C15002D_009,C15002D_009,C15002D_009,C15002D_009,C15002D_009,C15002D_009,C15002D_009,C15002D_009,C15002D_009,C15002D_009,,P148D013
female_asian_somecoll,C15002D_010,C15002D_010,C15002D_010,C15002D_010,C15002D_010,C15002D_010,C15002D_010,C15002D_010,C15002D_010,C15002D_010,C15002D_010,,
female_asian_somecoll_a,,,,,,,,,,,,,P148D014
female_asian_somecoll_b,,,,,,,,,,,,,P148D015
female_asian_collplus,C15002D_011,C15002D_011,C15002D_011,C15002D_011,C15002D_011,C15002D_011,C15002D_011,C15002D_011,C15002D_011,C15002D_011,C15002D_011,,
female_asian_collplus_a,,,,,,,,,,,,,P148D016
female_asian_collplus_b,,,,,,,,,,,,,P148D017
male_nhopi_lths,C15002E_003,C15002E_003,C15002E_003,C15002E_003,C15002E_003,C15002E_003,C15002E_003,C15002E_003,C15002E_003,C15002E_003,C15002E_003,,
male_nhopi_lths_a,,,,,,,,,,,,,P148E003
male_nhopi_lths_b,,,,,,,,,,,,,P148E004
male_nhopi_hs,C15002E_004,C15002E_004,C15002E_004,C15002E_004,C15002E_004,C15002E_004,C15002E_004,C15002E_004,C15002E_004,C15002E_004,C15002E_004,,P148E005
